DA_Number,Detail_URL,Description,Submitted_Date,Decision,Categories,Property_Address,Applicant,Progress,Fees,Documents,Contact_Council
PCD25/1649,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735024&propkey=36617, Single Storey Secondary Dwelling,,Approved on 02/10/2025,Private Certifier Complying Development App,"79 Albert St, NOWRA",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1649 MODIFIED - P Bacchus - CR-2025-88901 - 79 Alb...,Not required
PCD25/1650,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735044&propkey=23849, Single Storey Dwelling,,Approved on 01/10/2025,Private Certifier Complying Development App,"38 Curvers Dr, MANYANA",The Trustee for Cocert Unit Trust,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1650 MODIFIED - J Anslow - CR-2025-88746 - 38 Curv...,Not required
PCD25/1651,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735049&propkey=42843, Swimming Pool,,Approved on 01/10/2025,Private Certifier Complying Development App,"15 Old Woollamia Rd, FALLS CREEK",Pyramid Building Services,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1651 MODIFIED - Y El-Masri - CR-2025-89042 - 15 Ol...,Not required
PCD25/1652,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735067&propkey=84079, Single Storey Secondary Dwelling,,Approved on 02/10/2025,Private Certifier Complying Development App,"178 Old Southern Rd, WORRIGEE",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1652 MODIFIED - Bacchus Partners Pty Ltd - CR-2025...,Not required
PCD25/1653,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735124&propkey=1005518, Singel Storey Dual Occupancy Attached,,Approved on 02/10/2025,Private Certifier Complying Development App,"3 Wedgetail St, BADAGARANG",City Building Approvals Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1653 M Petrovski - CR-2025-89361 - 3 Wedgetail Str...,Not required
PCD25/1654,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735203&propkey=1005328, Two Storey Dwelling,,Approved on 07/10/2025,Private Certifier Complying Development App,"2 Paperbark Gr, BADAGARANG",Buildcert NSW Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1654 Buildcert NSW Pty Ltd - CR-2025-89817 - 2 Pap...,Not required
PCD25/1655,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735224&propkey=1005320, Single Storey Dual Occupancy Attached,,Approved on 07/10/2025,Private Certifier Complying Development App,"14 Corymbia Way, BADAGARANG",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1655 Bacchus Partners Pty Ltd - CR-2025-89937 - 14...,Not required
PCD25/1656,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735227&propkey=1005328, Retaining Wall,,Approved on 07/10/2025,Private Certifier Complying Development App,"2 Paperbark Gr, BADAGARANG",Buildcert NSW Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1656 Buildcert NSW Pty Ltd - CR-2025-89944 - 2 Pap...,Not required
PCD25/1657,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735232&propkey=1005294, Single Storey Dwelling,,Approved on 07/10/2025,Private Certifier Complying Development App,"Wirraway Bvd, BADAGARANG",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1657 Bacchus Partners Pty Ltd - CR-2025-89966 - Wi...,Not required
PCD25/1658,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735263&propkey=1005764, Industrial Storage Warehouse,,Approved on 07/10/2025,Private Certifier Complying Development App,"4 Concorde Way, BOMADERRY",Bacchus Partners Pty Ltd,['Actioned|Description|Date Sent|Date Due|Date Rec.|Status'],Not required,PCD25/1658 CONTRIBUTIONS TO BE CALCULATED - Bacchus Part...,Not required
